window_end_ns,elapsed_s,fps,rate_kib_s,missing_frames,loss_rate,crc_errors,old_frames,avg_interval_ms,interval_jitter_ms,bandwidth_jitter_kib_s
1785505225507413900,1.0236641999999847,20.514539826634863,82.33863153073172,0,0.0,0,0,50.13686190476191,58.17272416930014,2.0815783029133397
1785505226530126000,1.022713000000067,19.555828468004893,78.49067871435558,0,0.0,0,0,49.962,56.014503017146325,2.0017322552554884
1785505227563485600,1.033363399999871,20.321989340828814,81.5657970613344,0,0.0,0,0,52.488257142857144,57.3520760135374,1.9426584927862771
1785505228580245500,1.0167504000000918,19.670511071348677,78.9509770539483,0,0.0,0,0,47.408325,50.84192958358262,1.858779079023414
1785505229613697300,1.033460899999909,20.320072099488087,81.55810188368753,0,0.0,0,0,52.47786190476191,63.59083692596346,1.820966883578056
1785505230635760200,1.0220633000001271,19.568259617577024,78.54057326976717,0,0.0,0,0,51.102475,49.240893153127956,1.7943883190470276
1785505231652393600,1.0166251999999076,20.656580222487015,82.90873507267739,0,0.0,0,0,46.48564761904762,43.87663129761239,1.9053495994232075
1785505232684720800,1.0323350999999548,19.373554187977213,77.7590895630726,0,0.0,0,0,53.637969999999996,52.60953780147014,1.9502602378407836
1785505233701752600,1.01702790000013,20.648401091058872,82.87590672290231,0,0.0,0,0,46.534171428571426,44.02549385425611,2.019779863559033
1785505234731745300,1.0299963999998454,19.417543595300916,77.93564861004567,0,0.0,0,0,53.4913,46.138069476403906,2.036437296357371
1785505235751304800,1.0195581000000402,20.597158710228648,82.670236620156,0,0.0,0,0,46.67126666666667,44.70551320074889,2.0695513883993293
1785505236779378400,1.0280764000001454,19.4538071295063,78.08119853737392,0,0.0,0,0,53.378575,56.3773661005799,2.0724611215105915
1785505237802339500,1.0229600999998638,20.52865991547744,82.39530493419169,0,0.0,0,0,48.71011428571429,52.50861779757953,2.080050883824543
1785505238825546000,1.023207500000126,19.54637744543266,78.45274541086741,0,0.0,0,0,51.16239,44.6345266378996,2.06349602628793
